,easy_get,name,count
104,Male happened in 30 to 50 years old,['Alcoholic myocardial disease'],1
105,Male patients are more common,['Intermittent eye'],1
106,Malignant tumors,['Radioactive enteritis'],1
107,Many men happen to smoking,['Lung cancer'],1
108,Many patients with severe pneumonia,['Pulmonary Edema'],1
109,Many young women,['Intestinal tuberculosis'],1
110,Men in 20 ~ 50 years old,['Cirrhosis'],1
111,Men is slightly higher than women,['Peritoneal mesothelioma'],1
112,Men more men than women,['Petarin nephritis'],1
113,"Men, in middle age or old age, can also happen in adolescence, more obese",['Male breast hyperosis'],1
114,"Men, postmenopausal women, mental labor, abdominal obesity, hypertension, high blood fat, diabetes patients",['Coronary heart disease'],1
115,Middle-aged and elderly people over 50 years old,['Hypertrophic obstructive myocardial disease'],1
116,Middle-aged and elderly people who have occurred over 40 years old,['Cerebral arteriosclerosis'],1
117,Middle-aged people,['Metal nephritis'],1
118,Middle-aged women,['Primary biliary cirrhosis'],1
119,Mild high blood pressure crowd,['Beneficial hypertension'],1
120,More common in 40 years old,['Liver - thyroid syndrome'],1
121,More common in 50 years old women,['Pneumonian pseudo'],1
122,"More common in children, due to excessive medication",['Drive spirit poison'],1
123,More common in childrening age,['Urinary fungal infection'],1
124,More common in laboratory staff and industrial staff,['Beryllium poisoning'],1
125,More common in male patients,['Base cell adenoma'],1
126,More common in men,['Abdominal stroke syndrome'],1
127,More common in middle-aged men,['Barry syndrome'],1
1,3 weeks to 18 months baby,['Intestinal disease-skinned skin disease syndrome'],1
129,More common in shoes workers and workers who contact chemical dyes,['Benzene poison'],1
102,Long-term smokers are more common relative to others,['Defearability mesenchymal pneumonia'],1
100,"Long-term contact with organic or inorganic dust, harmful gas, smokers",['Emphysis'],1
69,Good sent to 20-40 years old,['Graves disease'],1
99,Long-term contact with nickel workers,['Nickel poisoning'],1
70,Good to adult,['Adult polycystic kidney'],1
71,Good to patients with hypertension,['Hypertension'],1
72,Good to postpartum,['Puerpere infection'],1
73,Good to send in young men and obese women,['Back blind valve syndrome'],1
75,Good to young women,['amenorrhea'],1
76,Hair from 10 to 25 years old,['Liver beat'],1
77,"Hairdressing Middle-aged, more men than women",['Fatty liver'],1
78,Hairdressing between 30 ~ 40 years old,['Carotonic hematology'],1
79,"Have allergies, birds, pigeons, contact with tide wurtry",['Proliferative pulmonal eosinophil infiltration'],1
80,Have an allergic crowd,['Asthma lung eosinolytic cell infiltration'],1
81,"History, poor living habits, lack of sports",['hypertension'],1
82,"How often, in the middle of the year, more men",['Lung abscess'],1
83,"Hypertensive patients with hypertension, Mafan's syndrome, etc., male, higher than women",['Aortic dissection'],1
84,"Hypertensive patients, patients with diabetes, lack of athletes, obese patients",['arteriosclerosis'],1
85,"IPH usually informative before 10 years old, mainly in 1 ~ 7 years old",['Eti-containing iron-containing blood'],1
86,Immunodeflative population,['Immune defective pneumonia'],1
87,Immunogenesis or immunodeficiency population,['Pulmonary bacteria'],1
88,Immunological low patient,['Pulmonary alcoholosis'],1
90,Infant and preschool children,['Pediatric asthma'],1
91,Infant within one year old,['Heartic elastic fiber hyperplasia'],1
92,"It can happen to any age, more than 40 to 60 years old.",['Gastric cancer'],1
93,"It happened to any age, but with a variety of young people, the incidence of men and women was similar.",['Diabeleracy'],1
94,"It is good to surgical patients, such as burn.",['Equivice dehydration'],1
95,"It is like tropical residents, any age can be disappeared.",['Tropical inflammatory diarrhea'],1
96,Long drink,['Alcoholism'],1
97,Long-lasting physical labor or standing staff,['Primary lower extremity venous valve closed incomplete'],1
98,Long-term bed bed,['Acute colon pseudo obstruction syndrome'],1
256,young people,['Surgery gland cyst'],1
